row_id,order_id ,cust_id ,created_date,created_at,item_id ,quantity ,delivery ,address_id 
1,ORD_00001,251,01-01-23,11:44:56,it002,8,1,251
2,ORD_00001,251,01-01-23,11:44:56,it017,7,1,251
3,ORD_00001,251,01-01-23,11:44:56,it006,3,1,251
4,ORD_00001,251,01-01-23,11:44:56,it006,1,1,251
5,ORD_00001,251,01-01-23,11:44:56,it010,6,1,251
6,ORD_00002,75,01-01-23,12:43:00,it023,4,1,75
7,ORD_00002,75,01-01-23,12:43:00,it029,4,1,75
8,ORD_00002,75,01-01-23,12:43:00,it009,2,1,75
9,ORD_00002,75,01-01-23,12:43:00,it030,6,1,75
10,ORD_00003,128,01-01-23,12:03:27,it033,6,0,128
11,ORD_00003,128,01-01-23,12:03:27,it037,6,0,128
12,ORD_00003,128,01-01-23,12:03:27,it004,6,0,128
13,ORD_00004,116,01-01-23,20:33:41,it022,6,1,116
14,ORD_00004,116,01-01-23,20:33:41,it028,1,1,116
15,ORD_00004,116,01-01-23,20:33:41,it029,5,1,116
16,ORD_00005,61,01-01-23,11:36:00,it036,8,1,61
17,ORD_00005,61,01-01-23,11:36:00,it001,3,1,61
18,ORD_00006,61,01-01-23,22:20:10,it019,7,0,61
19,ORD_00006,61,01-01-23,22:20:10,it020,10,0,61
20,ORD_00007,292,01-01-23,18:49:00,it025,1,1,292
21,ORD_00008,127,01-01-23,10:30:20,it012,8,1,127
22,ORD_00008,127,01-01-23,10:30:20,it024,9,1,127
23,ORD_00009,40,01-01-23,21:56:27,it021,5,0,40
24,ORD_00009,40,01-01-23,21:56:27,it010,5,0,40
25,ORD_00010,77,01-01-23,22:32:33,it013,7,0,77
26,ORD_00010,77,01-01-23,22:32:33,it007,3,0,77
27,ORD_00010,77,01-01-23,22:32:33,it032,3,0,77
28,ORD_00010,77,01-01-23,22:32:33,it001,9,0,77
29,ORD_00010,77,02-01-23,22:32:33,it016,10,0,77
30,ORD_00011,165,02-01-23,11:51:25,it036,10,1,165
31,ORD_00011,165,02-01-23,11:51:25,it002,5,1,165
32,ORD_00011,165,02-01-23,11:51:25,it012,6,1,165
33,ORD_00011,165,02-01-23,11:51:25,it006,5,1,165
34,ORD_00012,129,02-01-23,22:54:55,it025,1,1,129
35,ORD_00012,129,02-01-23,22:54:55,it022,4,1,129
36,ORD_00012,129,02-01-23,22:54:55,it028,3,1,129
37,ORD_00013,123,02-01-23,22:35:32,it018,8,0,123
38,ORD_00013,123,02-01-23,22:35:32,it005,6,0,123
39,ORD_00013,123,02-01-23,22:35:32,it016,10,0,123
40,ORD_00014,220,02-01-23,19:57:59,it004,1,1,220
41,ORD_00014,220,02-01-23,19:57:59,it003,5,1,220
42,ORD_00014,220,03-01-23,19:57:59,it003,1,1,220
43,ORD_00014,220,03-01-23,19:57:59,it006,1,1,220
44,ORD_00015,147,03-01-23,13:28:00,it017,10,1,147
45,ORD_00015,147,03-01-23,13:28:00,it014,8,1,147
46,ORD_00016,295,03-01-23,11:29:45,it012,3,0,295
47,ORD_00016,295,03-01-23,11:29:45,it001,4,0,295
48,ORD_00016,295,03-01-23,11:29:45,it016,3,0,295
49,ORD_00017,202,03-01-23,13:11:53,it003,7,1,202
50,ORD_00018,193,03-01-23,22:37:05,it028,5,1,193
51,ORD_00018,193,03-01-23,22:37:05,it036,3,1,193
